	(1)	(2)	(3)	(4)
VARIABLES	overall	endowments	coefficients	interaction
				
cog_vr_w2		-0.0445***	-0.140	0.00854
		(0.0127)	(0.163)	(0.0101)
cog_na_w2		-0.105***	-0.0197	0.00202
		(0.0200)	(0.139)	(0.0143)
cog_matrices_w2		-0.0114	-0.0553	0.000652
		(0.00722)	(0.313)	(0.00371)
sdq_emo_res_pcg_w2		-0.00263	0.232	-0.00826
		(0.00555)	(0.215)	(0.00800)
sdq_good_conduct_pcg_w2		-0.00176	0.178	-0.00115
		(0.00233)	(0.335)	(0.00246)
sdq_focus_behav_pcg_w2		0.0208**	0.183	0.0136
		(0.00848)	(0.160)	(0.0122)
sdq_posi_peer_pcg_w2		0.00525	-0.403	-0.00862
		(0.00437)	(0.291)	(0.00687)
pcg_educ_w2		-0.00735	0.00600	-0.000182
		(0.00479)	(0.158)	(0.00481)
scg_educ_w2		-0.00791	0.0335	-0.00116
		(0.00501)	(0.137)	(0.00480)
income_quin_eq_w2		-0.000680	-0.153	0.000473
		(0.00410)	(0.122)	(0.00287)
deis_w2		0.000662	-0.0103	0.000921
		(0.00161)	(0.0102)	(0.00227)
fee_paying_w2		-0.00261	-0.0145	0.00195
		(0.00284)	(0.0167)	(0.00288)
mixed_w2		0.00195	0.00227	-0.000138
		(0.00231)	(0.0397)	(0.00241)
group_1	-0.0311			
	(0.0373)			
group_2	0.0289			
	(0.0354)			
difference	-0.0600			
	(0.0514)			
endowments	-0.155***			
	(0.0383)			
coefficients	0.0862**			
	(0.0419)			
interaction	0.00865			
	(0.0238)			
Constant			0.249	
			(0.472)	
				
Observations	1,531	1,531	1,531	1,531
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
